Collection Name,SKU,Title,Weight Value,Weight Unit
JerkyAssortment15oz,JCB-CMB-VSP-14B,Beef Jerky Variety Sampler Pack - 14 bags,14,oz
JerkyAssortment15oz,JCB-CMB-VP-6B,Beef Jerky Variety Pack - 6 bags,15,oz
JerkyAssortment20oz,JCB-JOTW-8BAGS,The Jerky of the Week Club - 8 bags,0,lbs
JerkyAssortment25oz,JCB1031-K-RS,Jerky Lover's Combo,24.5,oz
JerkyAssortment30oz,JCB-JOTW-12BAGS,The Jerky of the Week Club - 12 bags,0,lbs
JerkyAssortment33oz,JCB-CMB-VP-14B,Beef Jerky Variety Pack - 14 bags,32.75,oz
JerkyAssortment4oz,JCB-CMB-VSP-3B,Beef Jerky Variety Sampler Pack - 3 bags,3,oz
JerkyAssortment4oz,JCB-CMB-SEP-R,SPECIALTY Exotic Jerky Sampler Pack (Kangaroo & Alligator),3.5,oz
JerkyAssortment4oz,JCB-ALJ-A2-1,Alligator Jerky Sampler - TESTER 2 PACK,3.5,oz
JerkyAssortment4oz,JCB-CMB-EJP-TP,Exotic Jerky Sampler Pack,4,oz
JerkyAssortment4oz,JCB-CMB-EJP-TT,Exotic Jerky Starter 4 Pack - 4 oz.,4,oz
JerkyAssortment4oz,JCB-GFT-BJV-3PC,Beef Jerky Variety Pack Sampler Gift Bag 3 bags,4,oz
JerkyAssortment4oz,JCB-BEJ-HTP-A4S,Hot Jerky Sampler Pack - 4 Flavors,4,oz
JerkyAssortment5oz,JCB-JOTW-2BAGS,The Jerky of the Week Club - 2 bags,0,lbs
JerkyAssortment5oz,GRAB-BAG-2,Grab Bag Sale - Mystery Bag 2,2,oz
JerkyAssortment5oz,JCB-POJ-A2-1,Jerky.com's Pork Jerky Sampler - TESTER 2 PACK,5,oz
JerkyAssortment5oz,JCB-TK-MHSDB,Mango Habanero Beef Jerky Surprise Drop Bundle,5,oz
JerkyAssortment5oz,JCB-CMB-BOJS,Booze Jerky Sampler Pack - 4 Flavors,5,oz
JerkyAssortment5oz,JCB-CMB-BBJS-TT,Beef Jerky Starter 5 Pack - 5 oz.,5,oz
JerkyAssortment5oz,JCB-CMB-TCSP,Tougher to Chew Sampler Pack - 5 Flavors,5,oz
JerkyAssortment5oz,JCB-CMB-ECSP,Easier to Chew Sampler Pack - 5 Flavors,5,oz
JerkyAssortment6oz,OKJ-BEJ-19-2-X3,Old Fashioned Hickory - 3 Pack,6,oz
JerkyAssortment6oz,OKJ-BEJ-3-2-X3,Old Fashioned Peppered - 3 Pack,6,oz
JerkyAssortment6oz,OKJ-BEJ-13-2-X3,Old Fashioned Garlic - 3 Pack,6,oz
JerkyAssortment6oz,OKJ-BEJ-5-2-X3,Old Fashioned Hot Beef - 3 Pack,6,oz
JerkyAssortment6oz,OKJ-BEJ-38-2-X3,Old Fashioned Jalapeno Beef - 3 Pack,6,oz
JerkyAssortment6oz,JCB-CMB-VSP-6B,Beef Jerky Variety Sampler Pack - 6 bags,6,oz
JerkyAssortment7.5oz,JCB-TUJ-A3-2,Jerky.com's Turkey Jerky Sampler - TESTER 3 PACK,0,lbs
JerkyAssortment7.5oz,BTJ-BEJ-12-16-X3,Honey Pepper Beef Jerky - 3 Pack,0,lbs
JerkyAssortment7.5oz,JCB-BRISK-SD-3PK,Test Kitchen - Brisket Beef Jerky 3 Pack Bundle - 7.5oz.,0,lbs
JerkyAssortment7.5oz,GRAB-BAG-3,Grab Bag Sale - Mystery Bag 3,2,oz
JerkyAssortment7.5oz,JCB-GFT-BJV-6PC,Beef Jerky Variety Pack Sampler Gift Bag 6 bags,7,oz
JerkyAssortment7.5oz,JCB-KIKI-MEM-EG,Keep It or Kill It Monthly Membership - Recurring,7,oz
JerkyAssortment7.5oz,JCB-CHJ-31-2-X3,Buffalo Wing Chicken - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-TUJ-3-2-X3,Black Pepper Turkey Jerky - 3 PACK,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-50-2-X3,Carolina Reaper Beef 3 Pack,7.5,oz
JerkyAssortment7.5oz,CIS-BEJ-39-2-X3,Bricktown Mesquite BBQ Beef Jerky - 3 Pack,7.5,oz
JerkyAssortment7.5oz,CIS-BEJ-1-2-X3,Bricktown Original - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-26-2-X3,Habanero Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-27-2-X3,Ghost Pepper Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-1-2-X3,Original Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-64-2-X3,Au Jus Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,CIS-BEJ-10-2-X3,Soft & Tender Sweet BBQ - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BEJ-65-2-X3,Jalapeno Garlic Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,JCB-BSJ-8-2-X3,Honey Teriyaki Beef - 3 Pack,7.5,oz
JerkyAssortment7.5oz,CIS-BEJ-38-2-X3,Bricktown Hot Jalapeno Beef Jerky - 3 PACK,7.5,oz
JerkyAssortment7.5oz,JCB-TRI-SD-3PK,Test Kitchen - Tri-Tip 3 Pack Bundle - 7.5oz.,7.5,oz
JerkyAssortment7.5oz,JCB-CMB-VP-3B,Beef Jerky Variety Pack - 3 bags,7.5,oz
JerkyAssortment7.5oz,JCB-TUJ-3FLV-BNDL,Turkey Jerky 3 Flavor Bundle,7.5,oz
JerkyAssortment8oz,JCB-TK-SHBJS,4 pc. Steakhouse Beef Jerky Sampler,0,lbs
JerkyAssortment9oz,JCB-CMB-BBJS-TP8,Beef Jerky Sampler Pack - 8 Flavors,9,oz
JerkyCombo,JCB-CMB-BBJS-TP,Beef Jerky Sampler Pack,7,oz
JerkyCombo,JCB-CMB-EXJC,Exotic Jerky Combo,9,oz
JerkyCombo,JCB-VP-8PESS,Exotic Snack Sticks Variety Pack - 8 Pieces,9,oz
JerkyCombo,JCB-VP-8PSS,Snack Sticks Variety Pack - 8 Pieces,9,oz
JerkyCombo,JCB-CMB-BAJC,Bacon Jerky Combo,10,oz
JerkyCombo,JCB-CMB-TCJC,Tougher-to-Chew Combo,10,oz
JerkyCombo,JCB-CMB-HJC,Hot Jerky Combo,12,oz
JerkyCombo,JCB-CMB-BOJC,Booze Infused Jerky Combo,13,oz
JerkyCombo,JCB-CMB-BJC,Beef Jerky Combo,15,oz
JerkyCombo,JCB-CMB-EJC,Easier to Chew Jerky Combo,15.99,oz
JerkyCombo,JCB-VP-20PSS,The Complete Meat Stick Combo Variety Pack,21,oz
JerkyCombo6oz,JCB-BUJ-1-17-X3,Original Buffalo Jerky - 3 Pack,0,lbs
JerkyCombo6oz,JCB-KAJ-1-17-X3,Kangaroo 3 Pack,0,lbs
JerkyComboLarge,JCB-BEJ-12DOJ,12 Days of Jerky Combo,22,oz
KIOKIBundle,JCB-KIOKIPPB-1,Keep It Or Kill It Pre-Paid Bundle - 1st Shipment with Bonus!,6,oz
Licorice 8oz,BTC-FTCB-3,Bricktown Confectionary - Unlabeled Classic Black Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTBRT-3,Bricktown Confectionary - Unlabeled Blue Raspberry Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTCHERT-3,Bricktown Confectionary - Unlabeled Cherry Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTCINT-3,Bricktown Confectionary - Unlabeled Cinnamon Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTGAT-3,Bricktown Confectionary - Unlabeled Green Apple Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTRRT-3,Bricktown Confectionary - Unlabeled Red Raspberry Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTST-3,Bricktown Confectionary - Unlabeled Strawberry Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTWT-3,Bricktown Confectionary - Unlabeled Watermelon Licorice - 8 oz.,8,oz
Licorice 8oz,BTC-FTCR-3,Bricktown Confectionary - Unlabeled Classic Red Licorice - 8 oz.,8,oz
Licorice3pack,BTC-FTCB-5-X3,Classic Black Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,0,lbs
Licorice3pack,BTC-FTCR-5-X3,Classic Red Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,0,lbs
Licorice3pack,BTC-FTST-3-X3,Strawberry Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,0,lbs
Licorice3pack,BTC-FTCHERT-3-X3,Cherry Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,0,lbs
Licorice3pack,BTC-FTCINT-3-X3,Cinnamon Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,24,oz
Licorice3pack,BTC-FTGAT-3-X3,Green Apple Licorice - 3 Pack - Fat Free Old Fashioned Gourmet Licorice Twists - A Must Try Quality Licorice Candy with Unique Flavor Unlike Any Other - 3-8 oz. Bags,24,oz
Licorice3pack,BTC-FTBRT-3-X3,Blue Raspberry Licorice - 3 Pack,24,oz
Licorice3pack,BTC-FTWT-3-X3,Watermelon Licorice - 3 Pack,24,oz
Licorice3pack,BTC-FTRRT-3-X3,Red Raspberry Licorice - 3 Pack,24,oz
Licorice3pack,BTG-SFS-59-5-X3,Cinnamon and Sugar Sunflower Seeds - 3 PACK,24,oz
MeatSlicingKnife,JCB-JME-1-2,"10""  Professional Jerky Meat Slicing Knife",6,oz
MeatSlicingKnife,JCB-JME-1-4,"12 "" Professional Jerky Meat Slicing Knife",6,oz
MeatSlicingKnife,JCB-JME-1-8,"14""  Professional Jerky Meat Slicing Knife",6,oz
MeatSlicingKnife,JCB-JME-1-BOTH,"Professional 10"" and 12"" Meat Cutting Knife Set",12,oz
MeatStick0.5oz,JCB-EEXS-94-23,Shaffers - Formed Sweet Garlic Elk Jerky Stick .5 oz.,0.5,oz
MeatStick0.5oz,JCB-VEXS-1-23,Shaffers - Formed Venison Jerky Stick .5 oz.,0.5,oz
MeatStick0.5oz,JCB-VEXS-5-23,Shaffers - Formed Hot Venison Jerky Stick .5 oz.,0.5,oz
MeatStick0.8oz,JCB-SS-1-26,Klement's Beef Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-21-26,Klement's Honey Ham Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-5-26,Klement's Hot Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-42-26,Klement's Sriracha Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-3-26,Klement's Cracked Pepper Turkey Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,3054,Klement's Original Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-170-26,Klement's Pepper Jack Turkey Snack Stick - .8 oz.,0.8,oz
MeatStick0.8oz,JCB-SS-2-26,Klement's Teriyaki Snack Stick - .8 oz.,0.8,oz
MeatStick1oz,JCB-SS-96-26,Klement's Original and Cheddar Cheese Snack Stick - 1 oz.,1,oz
MeatStick1oz,JCB-VEXS-1-13,Shaffers - Original Venison Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-VEXS-5-13,Shaffers - Hot Venison Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-vEXS-93-13,Shaffers - Sweet and Smokie Venison Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-VEXS-2-13,Shaffers - Teriyaki Venison Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-VEXS-3-13,Shaffers - Pepper Venison Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-EEXS-1-13,Shaffers - Elk Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-EEXS-91-13,Shaffers - Elk w/ Cheddar Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-BEXS-1-13,Shaffers - Water Buffalo Snack Stick 1 oz. - DISCONTINUED,1,oz
MeatStick1oz,JCB-WBEXS-1-13,Shaffers - Wild Boar Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-VEXS-6-13,Shaffers - Venison Cheddar Snack Stick 1 oz.,1,oz
MeatStick1oz,JCB-SS-172-13,Spiced Apple Snack Stick - 1 oz.,1,oz
MeatStick1oz,JCB-SS-173-13,Garlic Butter & Herb Snack Stick - 1 oz.,1,oz
MeatStick1oz,JCB-SS-CMMS-01,Cyber Monday Mystery Stick,1,oz
MeatStickAssortment10oz,KLM-MS-VS-10X+2-TT,Tiktok - Klement's 12 Stick Variety Pack,0,lbs
MeatStickAssortment10oz,KLM-MS-VS-10X+2,Klement's 12 Stick Variety Pack,9.6,oz
MeatStickAssortment21oz,KLM-MS-TURKEY-26X,Klement's Turkey Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-SRIRACHA-26X,Klement's Sriracha Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-HOT-26X,Klement's Hot Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-HAM-26X,Klement's Ham Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-EM-NBAG,Klement's Meat and Cheese Bundle Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-BEEF-26X,Klement's Beef Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-BEEF-24X+2-TT,Tiktok - Klement's Beef Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-HOT-24X+2-TT,Tiktok - Klement's Hot Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-HAM-24X+2-TT,Tiktok - Klement's Ham Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-TURKEY-24X+2-TT,Tiktok - Klement's CP Turkey Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,KLM-MS-SRIRACHA-24X+2-TT,Tiktok - Klement's Sriracha Sticks - 26 Pack,0,lbs
MeatStickAssortment21oz,JCB-SS-1-26-BUNDLE26,.8 oz. Beef Meat Sticks - 26 Count Bundle,20.8,oz
MeatStickAssortment21oz,JCB-SS-3-26-BUNDLE26,.8 oz. Cracked Pepper Turkey Meat Sticks - 26 Count Bundle,20.8,oz
MeatStickAssortment21oz,JCB-SS-42-26-BUNDLE26,.8 oz. Sriracha Meat Sticks - 26 Count Bundle,20.8,oz
MeatStickAssortment21oz,JCB-SS-5-26-BUNDLE26,.8 oz. Hot Meat Sticks - 26 Count Bundle,20.8,oz
MeatStickAssortment24oz,KLM-MS-VS-25X+5-TT,Tiktok - Klement's 30 Stick Variety Pack,0,lbs
MeatStickAssortment24oz,KLM-MS-VS-25X+5,Klement's 30 Stick Variety Pack,24,oz
MeatStickAssortment4oz,JCB-SS-96+3-4PC,4pc Meat Stick Assortment,0,lbs
MeatStickAssortment6oz,JCB-MSP,Meat Snack Pack - 7 Pieces,5.4,oz
MeatStickAssortment6oz,JCB-SS-172-13-X6,Spiced Apple Snack Stick - 6 Pack,6,oz
MeatStickAssortment6oz,JCB-SS-173-13-X6,Garlic Butter & Herb Snack Stick - 6 Pack,6,oz
MeatStickAssortment8oz,KLM-MS-VS-10X,Klement's 10 Stick Variety Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-CBPTURKEY-10X-TT,Tiktok - Klement's CP Turkey Sticks - 10 Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-SPICYSRIRACHA-10X-TT,Tiktok - Klement's Sriracha Sticks - 10 Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-HOT-10X-TT,Tiktok - Klement's Hot Sticks - 10 Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-HAM-10X-TT,Tiktok - Klement's Ham Sticks - 10 Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-BEEF-10X-TT,Tiktok - Klement's Beef Sticks - 10 Pack,0,lbs
MeatStickAssortment8oz,KLM-MS-CBPTURKEY-10X,Klement's Turkey Sticks - 10 Pack,8,oz
MeatStickAssortment8oz,KLM-MS-SPICYSRIRACHA-10X,Klement's Sriracha Sticks - 10 Pack,8,oz
MeatStickAssortment8oz,KLM-MS-HOT-10X,Klement's Hot Sticks - 10 Pack,8,oz
MeatStickAssortment8oz,KLM-MS-HAM-10X,Klement's Ham Sticks - 10 Pack,8,oz
MeatStickAssortment8oz,KLM-MS-BEEF-10X,Klement's Beef Sticks - 10 Pack,8,oz
MeatSticksAssortment,JCB-SS-21-26-BUNDLE26,.8 oz. Honey Ham Meat Sticks - 26 Count Bundle,20.8,oz
MeatSticksAssortment11oz,KLM-MS-BEEF-10X-TT+MC,Klement's Beef Sticks - 10 Pack w/ Meat & Cheese,11,oz
MeatSticksAssortment11oz,KLM-MS-HAM-10X-TT+MC,Klement's Ham Sticks - 10 Pack w/ Meat & Cheese,11,oz
MeatSticksAssortment11oz,KLM-MS-CBPTURKEY-10X-TT+MC,Klement's Cracked Black Pepper Turkey Sticks - 10 Pack w/ Meat & Cheese,11,oz
MeatSticksAssortment11oz,KLM-MS-VS-10X-TT+MC,Klement's 10 Stick Variety Pack w/ Meat & Cheese,11,oz
MeatSticksAssortment11oz,KLM-MS-VS-10X+3MC,Klement's 10 Stick Variety Pack + 3 Bonuses,11,oz
MeatSticksAssortment12oz,JCB-EXS-A12,12 pc Exotic Stick Variety Pack,12,oz
MeatSticksAssortment12oz,JCB-EXS-A12-FBM,12 pc Exotic Stick Variety Pack,12,oz
Mug,JCB-MERCH-MUG,Jerky.com Coffee Mug,16,oz
Pretzels3Pack,BTG-PRT-53-18-X3,Bricktown Goods - Pretzels - Dill Pickle - 5.5 oz. - 3 Pack,0,lbs
Pretzels5.5oz,BTG-PRT-84-18,Bricktown Goods - Pretzels - Bacon Cheddar - 5.5 oz.,5.5,oz
Pretzels5.5oz,BTG-PRT-83-18,Bricktown Goods - Pretzels - Barbecue - 5.5 oz.,5.5,oz
Pretzels5.5oz,BTG-PRT-82-18,Bricktown Goods - Pretzels - Chili Ranch - 5.5 oz.,5.5,oz
Pretzels5.5oz,BTG-PRT-86-18,Bricktown Goods - Pretzels - Cinnamon Toast - 5.5 oz.,5.5,oz
Pretzels5.5oz,BTG-PRT-53-18,Bricktown Goods - Pretzels - Dill Pickle - 5.5 oz.,5.5,oz
Pretzels5.5oz,BTG-PRT-85-18,Bricktown Goods - Pretzels - Sugar Cookie - 5.5 oz.,5.5,oz
Pretzels5.5oz,JCB-GFT-BSP,Bacon Snack Pack - 4 Pieces,5.6,oz
Seeds3pack,BTG-SFS-56-5-X3,Salt and Balsamic Vinegar Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-38-5-X3,Smoked Jalapeno Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-26-5-X3,Smoked Habanero Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-52-5-X3,BBQ Pit Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-61-5-X3,Salt & Pepper Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-57-5-X3,Cajun Honey Mustard Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-60-5-X3,Roasted Garlic Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-53-5-X3,Dill Pickle Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-54-5-X3,Bloody Mary Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-31-5-X3,Buffalo Wing Sunflower Seeds - 3 Pack,24,oz
Seeds3pack,BTG-SFS-55-5-X3,Jamaican Jerk Flavored Sunflower Seeds - 3 Pack - Seasoned and Roasted in Shell for a Bold Taste - 30 Total oz.,30,oz
SiliconeBag,JCB-B-10,Jerky.com - 1 Gallon Resealable Silicone Bags,12,oz
SunflowerSeeds8oz,BTG-SFS-52-5,Bricktown Goods - Sunflower Seeds - BBQ Pit,8,oz
SunflowerSeeds8oz,BTG-SFS-54-5,Bricktown Goods - Sunflower Seeds - Bloody Mary,8,oz
SunflowerSeeds8oz,BTG-SFS-31-5,Bricktown Goods - Sunflower Seeds - Buffalo Wing,8,oz
SunflowerSeeds8oz,BTG-SFS-57-5,Bricktown Goods - Sunflower Seeds - Cajun Honey Mustard,8,oz
SunflowerSeeds8oz,BTG-SFS-59-5,Bricktown Goods - Sunflower Seeds - Cinnamon & Sugar,8,oz
SunflowerSeeds8oz,BTG-SFS-53-5,Bricktown Goods - Sunflower Seeds - Dill Pickle,8,oz
SunflowerSeeds8oz,BTG-SFS-55-5,Bricktown Goods - Sunflower Seeds - Jamaican Jerk,8,oz
SunflowerSeeds8oz,BTG-SFS-60-5,Bricktown Goods - Sunflower Seeds - Roasted Garlic,8,oz
SunflowerSeeds8oz,BTG-SFS-56-5,Bricktown Goods - Sunflower Seeds - Salt & Balsamic Vinegar,8,oz
SunflowerSeeds8oz,BTG-SFS-61-5,Bricktown Goods - Sunflower Seeds - Salt & Pepper,8,oz
SunflowerSeeds8oz,BTG-SFS-26-5,Bricktown Goods - Sunflower Seeds - Smoked Habanero,8,oz
SunflowerSeeds8oz,BTG-SFS-38-5,Bricktown Goods - Sunflower Seeds - Smoked Jalapeno,8,oz
